"R0000100","R0214800","T8089600","T8089800","T8218700","T8219400"
425,2,197,4,13236,61
426,1,220,1,70000,60
427,2,199,5,84000,61
428,2,132,4,88500,60
429,1,-5,-5,-5,-5
430,1,156,8,-3,57
431,2,210,3,50000,58
432,1,-5,-5,-5,-5
433,1,260,9,41400,58
434,1,200,0,106000,55
435,1,-5,-5,-5,-5
436,2,150,0,74120,55
437,2,-1,4,40581,61
438,2,170,11,47500,55
439,2,194,5,199350,57
440,1,-5,-5,-5,-5
441,1,-5,-5,-5,-5
442,2,180,2,87050,61
443,1,-5,-5,-5,-5
444,2,185,6,86560,56
445,1,265,2,239000,54
446,2,-5,-5,-5,-5
447,1,-5,-5,-5,-5
448,1,-5,-5,-5,-5
449,2,190,2,-3,58
450,1,-5,-5,-5,-5
451,1,-5,-5,-5,-5
452,2,230,4,73000,54
453,1,-5,-5,-5,-5
454,2,-5,-5,-5,-5
455,2,113,4,97000,59
456,1,175,8,67000,60
457,1,200,9,186650,58
458,2,230,7,-3,57
459,2,125,4,280000,55
460,2,178,6,43000,56
461,1,155,7,104000,57
462,2,240,9,360000,58
463,1,-5,-5,-5,-5
464,1,192,10,8000,59
465,2,142,5,266700,55
466,1,190,11,60000,61
467,2,-5,-5,-5,-5
468,1,145,5,158000,60
469,1,-5,-5,-5,-5
470,1,240,11,30000,56
471,2,250,7,326216,59
472,2,117,7,-3,56
473,1,148,10,14832,58
474,2,160,4,100000,57
475,2,158,2,12000,54
476,2,160,2,63375,54
477,1,220,0,26000,55
478,2,192,6,88200,58
479,1,197,2,163500,55
480,1,190,10,78000,61
481,1,270,3,115000,60
482,1,190,2,215200,59
483,1,175,8,330000,61
484,1,180,9,20000,57
485,2,115,3,75000,56
486,1,223,9,181000,55
487,2,145,7,-3,58
488,1,220,11,120000,55
489,1,205,1,-3,58
490,1,-5,-5,-5,-5
491,2,160,5,28992,59
492,2,154,4,39300,57
493,1,210,10,114000,54
494,2,-5,-5,-5,-5
495,2,160,6,44903,58
496,2,200,8,87492,55
497,1,-5,-5,-5,-5
498,1,208,9,96000,61
499,2,170,2,64150,57
500,2,168,3,137000,55
501,2,200,5,-3,55
502,1,165,11,128150,58
503,2,195,5,130000,57
504,2,116,3,-3,55
505,1,220,11,11340,59
506,2,-5,-5,-5,-5
507,2,180,7,75000,57
508,1,-5,-5,-5,-5
509,1,-5,-5,-5,-5
510,2,-5,-5,-5,-5
511,1,-5,-5,-5,-5
512,1,-5,-5,-5,-5
513,1,165,7,-3,57
514,2,-5,-5,-5,-5
515,2,-5,-5,-5,-5
516,1,-5,-5,-5,-5
517,1,150,9,0,56
518,1,160,8,0,55
519,2,180,1,0,55
520,1,210,0,75010,60
521,1,215,10,72000,58
522,2,-5,-5,-5,-5
523,1,210,11,132000,55
524,1,-5,-5,-5,-5
525,2,-5,-5,-5,-5
526,1,-5,-5,-5,-5
527,2,165,3,79000,61
528,2,155,4,117300,55
529,2,-5,-5,-5,-5
530,2,160,5,-3,62
531,1,200,9,-3,61
532,2,-5,-5,-5,-5
533,2,190,11,120000,59
534,1,140,4,69375,55
535,1,190,11,18591,55
536,2,-5,-5,-5,-5
537,1,180,8,27072,55
538,1,199,0,-3,60
539,1,-5,-5,-5,-5
540,1,-5,-5,-5,-5
541,1,-5,-5,-5,-5
542,2,250,6,35000,57
543,1,218,11,-3,59
544,2,189,8,54210,58
545,1,200,11,69100,59
546,2,122,11,112400,54
547,1,220,9,179666,61
548,2,190,6,69000,55
549,1,148,9,152000,57
550,2,155,6,70435,60
551,2,-5,-5,-5,-5
552,2,-5,-5,-5,-5
553,1,205,3,207000,57
554,1,240,4,287000,55
555,1,150,11,56000,58
556,1,-5,-5,-5,-5
557,2,122,4,34821,59
558,2,150,4,122000,56
559,1,-5,-5,-5,-5
560,1,185,4,32000,59
561,2,250,1,83000,59
562,1,155,9,110000,56
563,2,178,6,-3,61
564,1,190,6,77000,60
565,1,155,7,163500,58
566,2,-5,-5,-5,-5
567,2,170,7,115000,56
568,2,112,5,43500,57
569,1,170,8,48000,58
570,1,250,7,217000,54
571,1,260,3,94000,53
572,2,-5,-5,-5,-5
573,1,140,-4,134400,57
574,2,-5,-5,-5,-5
575,1,-5,-5,-5,-5
576,2,190,7,-3,57
577,2,-5,-5,-5,-5
578,1,-5,-5,-5,-5
579,2,170,68,155000,55
580,1,200,9,35000,58
581,1,-5,-5,-5,-5
582,2,-5,-5,-5,-5
583,1,244,11,102800,61
584,1,140,7,1386,59
585,2,160,1,-3,55
586,1,-5,-5,-5,-5
